gain,power_out,gain_dBW,power_out_dBW,gain_numerik,power_out_numerik,waktu
-102.03125,-791.96361945,-102.03125,-1241.9636194500001,0.2811011882184563,0.0008537201564553633,2024-07-04 00:00:00
-105.625,-792.04337865,-105.625,-1242.04337865,0.27428000371532024,0.0008484801100028444,2024-07-04 00:07:00
-104.625,-792.20505979,-104.625,-1242.20505979,0.28206806934143874,0.0008464243613382525,2024-07-04 00:14:00
-103.15625,-792.14563618,-103.15625,-1242.14563618,0.27904297695618757,0.0008483343043222082,2024-07-04 00:21:00
-103.859375,-792.04831126,-103.859375,-1242.04831126,0.28530194869554065,0.0008493992522740601,2024-07-04 00:28:00
-102.21875,-792.08011078,-102.21875,-1242.08011078,0.28781924444360046,0.000849217271890319,2024-07-04 00:35:00
-102.953125,-792.06354216,-102.953125,-1242.06354216,0.28227442898299887,0.000850118095024277,2024-07-04 00:42:00
-104.328125,-792.11674728,-104.328125,-1242.11674728,0.2886706941967677,0.0008496250832960116,2024-07-04 00:49:00
0.0,0.0,0.0,0.0,0.0,0.0,2024-07-04 00:56:00
-102.90625,-791.9991681,-102.90625,-1241.9991681,0.28216734062847126,0.0008492287822613046,2024-07-04 01:03:00
-101.28125,-791.9440776,-101.28125,-1241.9440776,0.2954972963944425,0.0008478899300254342,2024-07-04 01:10:00
-99.03125,-792.16123592,-99.03125,-1242.16123592,0.29183083073504074,0.000849109503393062,2024-07-04 01:17:00
-97.890625,-792.0323254699999,-97.890625,-1242.03232547,0.2973459969753244,0.0008480273489707238,2024-07-04 01:24:00
-103.78125,-792.07830587,-103.78125,-1242.07830587,0.283501612041687,0.0008483017082823646,2024-07-04 01:31:00
-102.484375,-792.03595543,-102.484375,-1242.03595543,0.2879458768049043,0.0008475942659241112,2024-07-04 01:38:00
-99.6875,-791.92135638,-99.6875,-1241.92135638,0.3002871458358278,0.0008520292275680495,2024-07-04 01:45:00
-100.96875,-791.97128512,-100.96875,-1241.97128512,0.2923180640343403,0.0008520997457031795,2024-07-04 01:52:00
-101.3125,-792.1071944,-101.3125,-1242.1071944,0.29597455461717753,0.0008478779084698945,2024-07-04 01:59:00
-101.234375,-792.06811938,-101.234375,-1242.06811938,0.29106061952215895,0.0008508738611470211,2024-07-04 02:06:00
0.0,0.0,0.0,0.0,0.0,0.0,2024-07-04 02:13:00
-102.1875,-792.0740998699999,-102.1875,-1242.07409987,0.28619274979811316,0.0008510700770663799,2024-07-04 02:20:00
-100.21875,-792.04025157,-100.21875,-1242.04025157,0.2807205928174023,0.0008492630789007498,2024-07-04 02:27:00
-99.859375,-792.0087598,-99.859375,-1242.0087598,0.29646220986511684,0.000850691961590401,2024-07-04 02:34:00
-22.609375,-1360.39888313,-22.609375,-2170.39888313,0.5925922949610442,0.0016900057728848595,2024-07-04 02:41:00
-101.46875,-792.04887675,-101.46875,-1242.04887675,0.27888678204704964,0.0008470379389914727,2024-07-04 02:48:00
-101.21875,-792.15135764,-101.21875,-1242.15135764,0.276603335128748,0.0008472534376879192,2024-07-04 02:55:00
-100.96875,-792.00394939,-100.96875,-1242.00394939,0.27924114355842394,0.0008483026941609667,2024-07-04 03:02:00
-101.8125,-791.95897134,-101.8125,-1241.95897134,0.274828211529178,0.0008506126036378409,2024-07-04 03:09:00
-104.390625,-792.05971612,-104.390625,-1242.05971612,0.26851764492815,0.000850059677317905,2024-07-04 03:16:00
-103.59375,-792.02771008,-103.59375,-1242.02771008,0.274582938748136,0.0008501408868532984,2024-07-04 03:23:00
-101.34375,-792.0734139699999,-101.34375,-1242.07341397,0.2757151988066673,0.0008473681787371165,2024-07-04 03:30:00
-201.484375,-391.92589618,-201.484375,-571.92589618,0.012409672929338476,3.941926546703018e-05,2024-07-04 03:37:00
100.375,-400.10160922,100.375,-670.10160922,0.26497234718522195,0.0008109092435112828,2024-07-04 03:44:00
-104.484375,-792.19326579,-104.484375,-1242.19326579,0.26599220188034456,0.0008496757917036819,2024-07-04 03:51:00
-99.796875,-792.06272195,-99.796875,-1242.06272195,0.28259083106862154,0.0008506059367876129,2024-07-04 03:58:00
-102.78125,-792.11170702,-102.78125,-1242.11170702,0.2701752194012914,0.0008481270031775224,2024-07-04 04:05:00
-100.8125,-791.90128116,-100.8125,-1241.90128116,0.27857752017235793,0.0008523625497017572,2024-07-04 04:12:00
-103.875,-791.99069147,-103.875,-1241.99069147,0.26916768404332037,0.0008498339812269835,2024-07-04 04:19:00
-105.265625,-792.06160401,-105.265625,-1242.06160401,0.2834339583399477,0.0008497746370292564,2024-07-04 04:26:00
-100.296875,-792.0685135599999,-100.296875,-1242.06851356,0.3658030297531719,0.0008501809169320489,2024-07-04 04:33:00
-102.515625,-792.0237367999999,-102.515625,-1242.0237368,0.3621110856025603,0.0008504581637965542,2024-07-04 04:40:00
-102.578125,-792.0715257100001,-102.578125,-1242.07152571,0.3033693930248011,0.0008519305611260023,2024-07-04 04:47:00
-99.953125,-791.99346697,-99.953125,-1241.99346697,0.32531594981144935,0.0008530212516867576,2024-07-04 04:54:00
-104.421875,-791.99512084,-104.421875,-1241.99512084,0.3186270848740574,0.0008483273912894833,2024-07-04 05:01:00
-201.015625,-391.88541999,-201.015625,-571.88541999,0.013824017595400277,3.9782951321798375e-05,2024-07-04 05:08:00
98.46875,-400.18500683,98.46875,-670.18500683,0.3096239190068225,0.000810723825165647,2024-07-04 05:15:00
-104.625,-792.0349976699999,-104.625,-1242.03499767,0.3068168923731985,0.0008490760533605229,2024-07-04 05:22:00
-103.9375,-792.00887146,-103.9375,-1242.00887146,0.3136670236508523,0.0008498816273628786,2024-07-04 05:29:00
-96.140625,-792.08406332,-96.140625,-1242.08406332,0.33359776455232404,0.0008515019870820608,2024-07-04 05:36:00
-89.453125,-792.01559453,-89.453125,-1242.01559453,0.3372734511024802,0.0008517818919478351,2024-07-04 05:43:00
-103.46875,-792.03596549,-103.46875,-1242.03596549,0.2952881045043524,0.0008494202414147979,2024-07-04 05:50:00
-9.75,-791.98877092,-9.75,-1241.98877092,7.130621087050242,0.0008487309520088423,2024-07-04 05:57:00
-57.515625,-792.14103084,-57.515625,-1242.14103084,0.6775994159077063,0.0008489884645246307,2024-07-04 06:04:00
-56.75,-791.98703136,-56.75,-1241.98703136,0.6936523488469033,0.0008494873060884472,2024-07-04 06:11:00
-96.90625,-791.96662159,-96.90625,-1241.96662159,0.29873866072440186,0.0008497113026775828,2024-07-04 06:18:00
-103.28125,-791.93253089,-103.28125,-1241.93253089,0.2979131305714377,0.0008506916992613388,2024-07-04 06:25:00
-105.109375,-792.10950746,-105.109375,-1242.10950746,0.28569418862577606,0.0008496284013191388,2024-07-04 06:32:00
-201.5625,-391.87875332,-201.5625,-571.87875332,0.012188437170244176,3.9843178339147064e-05,2024-07-04 06:39:00
95.671875,-400.01165992,95.671875,-670.01165992,0.25759432611306804,0.0008115125853460445,2024-07-04 06:46:00
-103.890625,-792.06528423,-103.890625,-1242.06528423,0.27804081061742464,0.0008487684838242864,2024-07-04 06:53:00
-106.109375,-791.91594001,-106.109375,-1241.91594001,0.2763378571277815,0.0008505989187923187,2024-07-04 07:00:00
-101.75,-792.14951014,-101.75,-1242.14951014,0.28341489317781204,0.0008479710324661747,2024-07-04 07:07:00
-106.4375,-791.94903847,-106.4375,-1241.94903847,0.27625973722970354,0.0008497823911192385,2024-07-04 07:14:00
-108.9375,-792.06088505,-108.9375,-1242.06088505,0.25935828655102716,0.0008483017192593244,2024-07-04 07:21:00
-104.484375,-792.08951502,-104.484375,-1242.08951502,0.27859186914248,0.0008485130606680543,2024-07-04 07:28:00
-106.328125,-792.056914,-106.328125,-1242.056914,0.2572388036008159,0.0008498619508863189,2024-07-04 07:35:00
